epoch,train_accuracy,val_accuracy,train_loss,val_loss
1,0.2906367041198502,0.2696629213483146,1.5486762263998854,1.5647871794998056
2,0.5730337078651685,0.5325842696629214,1.3767733393162003,1.4026074426980124
3,0.846441947565543,0.797752808988764,0.5857239619937197,0.6432128021301645
4,0.9191011235955057,0.8853932584269663,0.2966541738888113,0.36763947190804847
5,0.9370786516853933,0.9146067415730337,0.20582051267396095,0.2755129643951881
6,0.951310861423221,0.9280898876404494,0.16059651459718516,0.2143205529791792
7,0.9595505617977528,0.9415730337078652,0.13412367003240966,0.17507186167224287
8,0.9700374531835206,0.952808988764045,0.11647184444618419,0.14989856583409994
9,0.9752808988764045,0.9617977528089887,0.10460909442871515,0.1347937698155118
10,0.9760299625468165,0.9685393258426966,0.09452606471922946,0.1248958766674483
11,0.9775280898876404,0.9685393258426966,0.08750293149828936,0.12004268271729916
12,0.9797752808988764,0.9685393258426966,0.08089426729194023,0.11724794185077204
13,0.9820224719101124,0.9662921348314607,0.07552097988342178,0.11463388997517376
14,0.9835205992509364,0.9617977528089887,0.07121909313764563,0.11198926622066008
15,0.9850187265917603,0.9707865168539326,0.06836647703087052,0.11093757497542729
16,0.9865168539325843,0.9685393258426966,0.0651357229231337,0.11161252371116055
17,0.9895131086142323,0.9640449438202248,0.06227083635835105,0.10967947579681202
18,0.9895131086142323,0.9640449438202248,0.059538048673206695,0.10820849470672196
19,0.9910112359550561,0.9685393258426966,0.05716366909387178,0.10646057296640682
20,0.9910112359550561,0.9662921348314607,0.05579758423704218,0.10672085882597898
21,0.9910112359550561,0.9662921348314607,0.055245349167029466,0.10853820581205839
22,0.9910112359550561,0.9685393258426966,0.05431620410269605,0.10848740169389728
23,0.9917602996254682,0.9640449438202248,0.05289221963468762,0.10814744416934026
24,0.9917602996254682,0.9640449438202248,0.05209498914932957,0.10709770079747435
25,0.9917602996254682,0.9707865168539326,0.05165571244625137,0.10612185114086609
26,0.9917602996254682,0.9662921348314607,0.05127751065909462,0.10623394438511158
27,0.9917602996254682,0.9662921348314607,0.050295770351421965,0.10779893102255744
28,0.9917602996254682,0.9685393258426966,0.0491507266890981,0.1058714609214077
29,0.9917602996254682,0.9685393258426966,0.04876367542614891,0.10458684085647832
30,0.9917602996254682,0.9685393258426966,0.04854395464095511,0.10460420082607802
